Movie Names,Ratings
173.      Salaam Bombay!(1988),7.8
174.      Vedam(2010),7.8
175.      Deiva Thirumagal(2011),7.8
176.      Charlie(2015),7.8
177.      Ankhon Dekhi(2013),7.8
178.      Baby(2015),7.8
179.      Bãhubali: The Beginning(2015),7.8
180.      Pizza(2012),7.8
181.      Vinnaithaandi Varuvaayaa(2010),7.8
182.      Malik(2021),7.8
183.      Dor(2006),7.8
184.      Kirik Party(2016),7.8
185.      Airlift(2016),7.8
186.      English Vinglish(2012),7.8
187.      Lakshya(2004),7.8
188.      Hindi Medium(2017),7.8
189.      Memories(2013),7.8
190.      Johnny Gaddaar(2007),7.8
191.      Joseph(2018),7.8
192.      M.S. Dhoni: The Untold Story(2016),7.8
193.      Kaakha..Kaakha: The Police(2003),7.8
194.      Gangaajal(2003),7.8
195.      Hey Ram(2000),7.7
196.      Mumbai Police(2013),7.7
197.      The Tashkent Files(2019),7.7
198.      Anjaam Pathiraa(2020),7.7
199.      Vettaiyaadu Vilaiyaadu(2006),7.7
200.      Ab Tak Chhappan(2004),7.7
201.      The Lunchbox(2013),7.7
202.      Unnaipol Oruvan(2009),7.7
203.      Angamaly Diaries(2017),7.7
204.      Secret Superstar(2017),7.7
205.      Okkadu(2003),7.7
206.      Pokiri(2006),7.7
207.      Manam(2014),7.7
208.      Vicky Donor(2012),7.7
209.      Mother India(1957),7.7
210.      Hridayam(2022),7.7
211.      Thuppakki(2012),7.7
212.      Veer-Zaara(2004),7.7
213.      Rock On!!(2008),7.7
214.      Mr. India(1987),7.7
215.      Mimi(2021),7.7
216.      Udta Punjab(2016),7.7
217.      Stanley Ka Dabba(2011),7.7
218.      Nayak: The Real Hero(2001),7.7
219.      Ghilli(2004),7.7
220.      Minnal Murali(2021),7.7
221.      RangiTaranga(2015),7.7
222.      Badla(2019),7.7
223.      Happy Days(2007),7.7
224.      Kaththi(2014),7.7
225.      Dasvidaniya(2008),7.7
226.      Raazi(2018),7.7
227.      Sonchiriya(2019),7.7
228.      Dia(2020),7.7
229.      Thulladha Manamum Thullum(1999),7.7
230.      Kai po che!(2013),7.7
231.      Poove Unakkaga(1996),7.7
232.      Joji(2021),7.7
233.      Aayirathil Oruvan(2010),7.7
234.      Don(1978),7.7
235.      Ennu Ninte Moideen(2015),7.6
236.      Aligarh(2015),7.6
237.      Goodachari(2018),7.6
238.      Ko(2011),7.6
239.      Guru(2007),7.6
240.      Kapoor & Sons(2016),7.6
241.      Colour Photo(2020),7.6
242.      24(2016),7.6
243.      Velaiilla Pattadhari(2014),7.6
244.      Oye Lucky! Lucky Oye!(2008),7.6
245.      Rockstar(2011),7.6
246.      Arya(2004),7.6
247.      Samsara(2001),7.6
248.      Eega(2012),7.6
249.      Newton(2017),7.6
250.      Mumbai Meri Jaan(2008),7.6
